method,path,backend_status,body_size,statediff_size,body
POST,/api/books,200,52,1191681,"{""title"":""Test Book 1_0"",""author"":""Test Author 1_0""}"
GET,/api/books/3473,200,0,66,
PUT,/api/books/3473,200,68,4859,"{""title"":""Updated Test Book 1_0"",""author"":""Updated Test Author 1_0""}"
DELETE,/api/books/3473,200,0,619,
POST,/api/books,200,52,457,"{""title"":""Test Book 1_1"",""author"":""Test Author 1_1""}"
GET,/api/books/3474,200,0,12,
PUT,/api/books/3474,200,68,623,"{""title"":""Updated Test Book 1_1"",""author"":""Updated Test Author 1_1""}"
DELETE,/api/books/3474,200,0,575,
POST,/api/books,200,52,11028,"{""title"":""Test Book 1_2"",""author"":""Test Author 1_2""}"
GET,/api/books/3475,200,0,66,
PUT,/api/books/3475,200,68,573,"{""title"":""Updated Test Book 1_2"",""author"":""Updated Test Author 1_2""}"
DELETE,/api/books/3475,200,0,3442,
POST,/api/books,200,52,455,"{""title"":""Test Book 1_3"",""author"":""Test Author 1_3""}"
GET,/api/books/3476,200,0,12,
PUT,/api/books/3476,200,68,44072,"{""title"":""Updated Test Book 1_3"",""author"":""Updated Test Author 1_3""}"
DELETE,/api/books/3476,200,0,577,
POST,/api/books,200,52,459,"{""title"":""Test Book 1_4"",""author"":""Test Author 1_4""}"
GET,/api/books/3477,200,0,64,
PUT,/api/books/3477,200,68,638,"{""title"":""Updated Test Book 1_4"",""author"":""Updated Test Author 1_4""}"
DELETE,/api/books/3477,200,0,542,
POST,/api/books,200,52,35600,"{""title"":""Test Book 1_5"",""author"":""Test Author 1_5""}"
GET,/api/books/3478,200,0,92,
PUT,/api/books/3478,200,68,600,"{""title"":""Updated Test Book 1_5"",""author"":""Updated Test Author 1_5""}"
DELETE,/api/books/3478,200,0,567,
POST,/api/books,200,52,429,"{""title"":""Test Book 1_6"",""author"":""Test Author 1_6""}"
GET,/api/books/3479,200,0,65,
PUT,/api/books/3479,200,68,616,"{""title"":""Updated Test Book 1_6"",""author"":""Updated Test Author 1_6""}"
DELETE,/api/books/3479,200,0,29679,
POST,/api/books,200,52,435,"{""title"":""Test Book 1_7"",""author"":""Test Author 1_7""}"
GET,/api/books/3480,200,0,65,
PUT,/api/books/3480,200,68,609,"{""title"":""Updated Test Book 1_7"",""author"":""Updated Test Author 1_7""}"
DELETE,/api/books/3480,200,0,632,
POST,/api/books,200,52,435,"{""title"":""Test Book 1_8"",""author"":""Test Author 1_8""}"
GET,/api/books/3481,200,0,30658,
PUT,/api/books/3481,200,68,603,"{""title"":""Updated Test Book 1_8"",""author"":""Updated Test Author 1_8""}"
DELETE,/api/books/3481,200,0,578,
POST,/api/books,200,52,482,"{""title"":""Test Book 1_9"",""author"":""Test Author 1_9""}"
GET,/api/books/3482,200,0,12,
PUT,/api/books/3482,200,68,613,"{""title"":""Updated Test Book 1_9"",""author"":""Updated Test Author 1_9""}"
DELETE,/api/books/3482,200,0,36191,
POST,/api/books,200,54,464,"{""title"":""Test Book 1_10"",""author"":""Test Author 1_10""}"
GET,/api/books/3483,200,0,64,
PUT,/api/books/3483,200,70,611,"{""title"":""Updated Test Book 1_10"",""author"":""Updated Test Author 1_10""}"
DELETE,/api/books/3483,200,0,608,
POST,/api/books,200,54,451,"{""title"":""Test Book 1_11"",""author"":""Test Author 1_11""}"
GET,/api/books/3484,200,0,29981,
PUT,/api/books/3484,200,70,551,"{""title"":""Updated Test Book 1_11"",""author"":""Updated Test Author 1_11""}"
DELETE,/api/books/3484,200,0,616,
POST,/api/books,200,54,434,"{""title"":""Test Book 1_12"",""author"":""Test Author 1_12""}"
GET,/api/books/3485,200,0,12,
PUT,/api/books/3485,200,70,13491,"{""title"":""Updated Test Book 1_12"",""author"":""Updated Test Author 1_12""}"
DELETE,/api/books/3485,200,0,14054,
POST,/api/books,200,54,451,"{""title"":""Test Book 1_13"",""author"":""Test Author 1_13""}"
GET,/api/books/3486,200,0,63,
PUT,/api/books/3486,200,70,591,"{""title"":""Updated Test Book 1_13"",""author"":""Updated Test Author 1_13""}"
DELETE,/api/books/3486,200,0,585,
POST,/api/books,200,54,442,"{""title"":""Test Book 1_14"",""author"":""Test Author 1_14""}"
GET,/api/books/3487,200,0,20524,
PUT,/api/books/3487,200,70,607,"{""title"":""Updated Test Book 1_14"",""author"":""Updated Test Author 1_14""}"
DELETE,/api/books/3487,200,0,566,
POST,/api/books,200,54,464,"{""title"":""Test Book 1_15"",""author"":""Test Author 1_15""}"
GET,/api/books/3488,200,0,65,
PUT,/api/books/3488,200,70,581,"{""title"":""Updated Test Book 1_15"",""author"":""Updated Test Author 1_15""}"
DELETE,/api/books/3488,200,0,23623,
POST,/api/books,200,54,463,"{""title"":""Test Book 1_16"",""author"":""Test Author 1_16""}"
GET,/api/books/3489,200,0,66,
PUT,/api/books/3489,200,70,600,"{""title"":""Updated Test Book 1_16"",""author"":""Updated Test Author 1_16""}"
DELETE,/api/books/3489,200,0,589,
POST,/api/books,200,54,23770,"{""title"":""Test Book 1_17"",""author"":""Test Author 1_17""}"
GET,/api/books/3490,200,0,146,
PUT,/api/books/3490,200,70,604,"{""title"":""Updated Test Book 1_17"",""author"":""Updated Test Author 1_17""}"
DELETE,/api/books/3490,200,0,578,
POST,/api/books,200,54,1884,"{""title"":""Test Book 1_18"",""author"":""Test Author 1_18""}"
GET,/api/books/3491,200,0,12,
PUT,/api/books/3491,200,70,28330,"{""title"":""Updated Test Book 1_18"",""author"":""Updated Test Author 1_18""}"
DELETE,/api/books/3491,200,0,573,
POST,/api/books,200,54,460,"{""title"":""Test Book 1_19"",""author"":""Test Author 1_19""}"
GET,/api/books/3492,200,0,64,
PUT,/api/books/3492,200,70,621,"{""title"":""Updated Test Book 1_19"",""author"":""Updated Test Author 1_19""}"
DELETE,/api/books/3492,200,0,4164,
POST,/api/books,200,54,24095,"{""title"":""Test Book 1_20"",""author"":""Test Author 1_20""}"
GET,/api/books/3493,200,0,64,
PUT,/api/books/3493,200,70,600,"{""title"":""Updated Test Book 1_20"",""author"":""Updated Test Author 1_20""}"
DELETE,/api/books/3493,200,0,574,
POST,/api/books,200,54,428,"{""title"":""Test Book 1_21"",""author"":""Test Author 1_21""}"
GET,/api/books/3494,200,0,21445,
PUT,/api/books/3494,200,70,581,"{""title"":""Updated Test Book 1_21"",""author"":""Updated Test Author 1_21""}"
DELETE,/api/books/3494,200,0,563,
POST,/api/books,200,54,398,"{""title"":""Test Book 1_22"",""author"":""Test Author 1_22""}"
GET,/api/books/3495,200,0,65,
PUT,/api/books/3495,200,70,622,"{""title"":""Updated Test Book 1_22"",""author"":""Updated Test Author 1_22""}"
DELETE,/api/books/3495,200,0,20616,
POST,/api/books,200,54,449,"{""title"":""Test Book 1_23"",""author"":""Test Author 1_23""}"
GET,/api/books/3496,200,0,12,
PUT,/api/books/3496,200,70,646,"{""title"":""Updated Test Book 1_23"",""author"":""Updated Test Author 1_23""}"
DELETE,/api/books/3496,200,0,587,
POST,/api/books,200,54,437,"{""title"":""Test Book 1_24"",""author"":""Test Author 1_24""}"
GET,/api/books/3497,200,0,6786,
PUT,/api/books/3497,200,70,12623,"{""title"":""Updated Test Book 1_24"",""author"":""Updated Test Author 1_24""}"
DELETE,/api/books/3497,200,0,593,
POST,/api/books,200,54,452,"{""title"":""Test Book 1_25"",""author"":""Test Author 1_25""}"
GET,/api/books/3498,200,0,66,
PUT,/api/books/3498,200,70,574,"{""title"":""Updated Test Book 1_25"",""author"":""Updated Test Author 1_25""}"
DELETE,/api/books/3498,200,0,17716,
POST,/api/books,200,54,467,"{""title"":""Test Book 1_26"",""author"":""Test Author 1_26""}"
GET,/api/books/3499,200,0,66,
PUT,/api/books/3499,200,70,609,"{""title"":""Updated Test Book 1_26"",""author"":""Updated Test Author 1_26""}"
DELETE,/api/books/3499,200,0,581,
POST,/api/books,200,54,457,"{""title"":""Test Book 1_27"",""author"":""Test Author 1_27""}"
GET,/api/books/3500,200,0,16678,
PUT,/api/books/3500,200,70,584,"{""title"":""Updated Test Book 1_27"",""author"":""Updated Test Author 1_27""}"
DELETE,/api/books/3500,200,0,594,
POST,/api/books,200,54,449,"{""title"":""Test Book 1_28"",""author"":""Test Author 1_28""}"
GET,/api/books/3501,200,0,65,
PUT,/api/books/3501,200,70,600,"{""title"":""Updated Test Book 1_28"",""author"":""Updated Test Author 1_28""}"
DELETE,/api/books/3501,200,0,16041,
POST,/api/books,200,54,440,"{""title"":""Test Book 1_29"",""author"":""Test Author 1_29""}"
GET,/api/books/3502,200,0,12,
PUT,/api/books/3502,200,70,603,"{""title"":""Updated Test Book 1_29"",""author"":""Updated Test Author 1_29""}"
DELETE,/api/books/3502,200,0,617,
POST,/api/books,200,54,429,"{""title"":""Test Book 1_30"",""author"":""Test Author 1_30""}"
GET,/api/books/3503,200,0,19483,
PUT,/api/books/3503,200,70,605,"{""title"":""Updated Test Book 1_30"",""author"":""Updated Test Author 1_30""}"
DELETE,/api/books/3503,200,0,597,
POST,/api/books,200,54,497,"{""title"":""Test Book 1_31"",""author"":""Test Author 1_31""}"
GET,/api/books/3504,200,0,12,
PUT,/api/books/3504,200,70,632,"{""title"":""Updated Test Book 1_31"",""author"":""Updated Test Author 1_31""}"
DELETE,/api/books/3504,200,0,16972,
