method,path,backend_status,body_size,statediff_size,body
POST,/api/books,200,52,616,"{""title"":""Test Book 1_0"",""author"":""Test Author 1_0""}"
GET,/api/books/1,200,0,12,
PUT,/api/books/1,200,68,1211,"{""title"":""Updated Test Book 1_0"",""author"":""Updated Test Author 1_0""}"
DELETE,/api/books/1,200,0,1227,
POST,/api/books,200,52,1714,"{""title"":""Test Book 1_1"",""author"":""Test Author 1_1""}"
GET,/api/books/2,200,0,87,
PUT,/api/books/2,200,68,18329,"{""title"":""Updated Test Book 1_1"",""author"":""Updated Test Author 1_1""}"
DELETE,/api/books/2,200,0,1212,
POST,/api/books,200,52,631,"{""title"":""Test Book 1_2"",""author"":""Test Author 1_2""}"
GET,/api/books/3,200,0,87,
PUT,/api/books/3,200,68,1233,"{""title"":""Updated Test Book 1_2"",""author"":""Updated Test Author 1_2""}"
DELETE,/api/books/3,200,0,780,
POST,/api/books,200,52,636,"{""title"":""Test Book 1_3"",""author"":""Test Author 1_3""}"
GET,/api/books/4,200,0,117,
PUT,/api/books/4,200,68,1191,"{""title"":""Updated Test Book 1_3"",""author"":""Updated Test Author 1_3""}"
DELETE,/api/books/4,200,0,1206,
POST,/api/books,200,52,662,"{""title"":""Test Book 1_4"",""author"":""Test Author 1_4""}"
GET,/api/books/5,200,0,87,
PUT,/api/books/5,200,68,1258,"{""title"":""Updated Test Book 1_4"",""author"":""Updated Test Author 1_4""}"
DELETE,/api/books/5,200,0,779,
POST,/api/books,200,52,1047,"{""title"":""Test Book 1_5"",""author"":""Test Author 1_5""}"
GET,/api/books/6,200,0,87,
PUT,/api/books/6,200,68,825,"{""title"":""Updated Test Book 1_5"",""author"":""Updated Test Author 1_5""}"
DELETE,/api/books/6,200,0,1207,
POST,/api/books,200,52,667,"{""title"":""Test Book 1_6"",""author"":""Test Author 1_6""}"
GET,/api/books/7,200,0,87,
PUT,/api/books/7,200,68,816,"{""title"":""Updated Test Book 1_6"",""author"":""Updated Test Author 1_6""}"
DELETE,/api/books/7,200,0,1186,
POST,/api/books,200,52,662,"{""title"":""Test Book 1_7"",""author"":""Test Author 1_7""}"
GET,/api/books/8,200,0,87,
PUT,/api/books/8,200,68,812,"{""title"":""Updated Test Book 1_7"",""author"":""Updated Test Author 1_7""}"
DELETE,/api/books/8,200,0,782,
POST,/api/books,200,52,660,"{""title"":""Test Book 1_8"",""author"":""Test Author 1_8""}"
GET,/api/books/9,200,0,918,
PUT,/api/books/9,200,68,819,"{""title"":""Updated Test Book 1_8"",""author"":""Updated Test Author 1_8""}"
DELETE,/api/books/9,200,0,778,
POST,/api/books,200,52,660,"{""title"":""Test Book 1_9"",""author"":""Test Author 1_9""}"
GET,/api/books/10,200,0,87,
