method,path,backend_status,body_size,statediff_size,body
POST,/api/books,201,52,16391,"{""title"":""Test Book 1_0"",""author"":""Test Author 1_0""}"
GET,/api/books/6922fb4a11741d2b7412663b,200,0,757,
PUT,/api/books/6922fb4a11741d2b7412663b,200,68,3,"{""title"":""Updated Test Book 1_0"",""author"":""Updated Test Author 1_0""}"
DELETE,/api/books/6922fb4a11741d2b7412663b,200,0,193,
POST,/api/books,201,52,90,"{""title"":""Test Book 1_1"",""author"":""Test Author 1_1""}"
GET,/api/books/6922fb4b11741d2b7412663c,200,0,208,
PUT,/api/books/6922fb4b11741d2b7412663c,200,68,3,"{""title"":""Updated Test Book 1_1"",""author"":""Updated Test Author 1_1""}"
DELETE,/api/books/6922fb4b11741d2b7412663c,200,0,193,
POST,/api/books,201,52,3,"{""title"":""Test Book 1_2"",""author"":""Test Author 1_2""}"
GET,/api/books/6922fb4b11741d2b7412663d,200,0,255,
PUT,/api/books/6922fb4b11741d2b7412663d,200,68,3,"{""title"":""Updated Test Book 1_2"",""author"":""Updated Test Author 1_2""}"
DELETE,/api/books/6922fb4b11741d2b7412663d,200,0,193,
POST,/api/books,201,52,90,"{""title"":""Test Book 1_3"",""author"":""Test Author 1_3""}"
GET,/api/books/6922fb4c11741d2b7412663e,200,0,208,
PUT,/api/books/6922fb4c11741d2b7412663e,200,68,3,"{""title"":""Updated Test Book 1_3"",""author"":""Updated Test Author 1_3""}"
DELETE,/api/books/6922fb4c11741d2b7412663e,200,0,193,
POST,/api/books,201,52,255,"{""title"":""Test Book 1_4"",""author"":""Test Author 1_4""}"
GET,/api/books/6922fb4c11741d2b7412663f,200,0,3,
PUT,/api/books/6922fb4c11741d2b7412663f,200,68,3,"{""title"":""Updated Test Book 1_4"",""author"":""Updated Test Author 1_4""}"
DELETE,/api/books/6922fb4c11741d2b7412663f,200,0,193,
POST,/api/books,201,52,90,"{""title"":""Test Book 1_5"",""author"":""Test Author 1_5""}"
GET,/api/books/6922fb4d11741d2b74126640,200,0,208,
PUT,/api/books/6922fb4d11741d2b74126640,200,68,3,"{""title"":""Updated Test Book 1_5"",""author"":""Updated Test Author 1_5""}"
DELETE,/api/books/6922fb4d11741d2b74126640,200,0,193,
POST,/api/books,201,52,90,"{""title"":""Test Book 1_6"",""author"":""Test Author 1_6""}"
GET,/api/books/6922fb4d11741d2b74126641,200,0,208,
PUT,/api/books/6922fb4d11741d2b74126641,200,68,3,"{""title"":""Updated Test Book 1_6"",""author"":""Updated Test Author 1_6""}"
DELETE,/api/books/6922fb4d11741d2b74126641,200,0,193,
POST,/api/books,201,52,28340,"{""title"":""Test Book 1_7"",""author"":""Test Author 1_7""}"
GET,/api/books/6922fb4e11741d2b74126642,200,0,208,
PUT,/api/books/6922fb4e11741d2b74126642,200,68,3,"{""title"":""Updated Test Book 1_7"",""author"":""Updated Test Author 1_7""}"
DELETE,/api/books/6922fb4e11741d2b74126642,200,0,193,
POST,/api/books,201,52,90,"{""title"":""Test Book 1_8"",""author"":""Test Author 1_8""}"
GET,/api/books/6922fb4e11741d2b74126643,200,0,268,
PUT,/api/books/6922fb4e11741d2b74126643,200,68,4710,"{""title"":""Updated Test Book 1_8"",""author"":""Updated Test Author 1_8""}"
DELETE,/api/books/6922fb4e11741d2b74126643,200,0,194,
POST,/api/books,201,52,91,"{""title"":""Test Book 1_9"",""author"":""Test Author 1_9""}"
GET,/api/books/6922fb4e11741d2b74126644,200,0,209,
PUT,/api/books/6922fb4e11741d2b74126644,200,68,3,"{""title"":""Updated Test Book 1_9"",""author"":""Updated Test Author 1_9""}"
DELETE,/api/books/6922fb4e11741d2b74126644,200,0,194,
