method,path,backend_status,body_size,statediff_size,body
POST,/api/books,200,52,195,"{""title"":""Test Book 1_0"",""author"":""Test Author 1_0""}"
GET,/api/books/1,200,0,3,
PUT,/api/books/1,200,68,105,"{""title"":""Updated Test Book 1_0"",""author"":""Updated Test Author 1_0""}"
DELETE,/api/books/1,200,0,165,
POST,/api/books,200,52,198,"{""title"":""Test Book 1_1"",""author"":""Test Author 1_1""}"
GET,/api/books/2,200,0,3,
PUT,/api/books/2,200,68,110,"{""title"":""Updated Test Book 1_1"",""author"":""Updated Test Author 1_1""}"
DELETE,/api/books/2,200,0,224,
POST,/api/books,200,52,174,"{""title"":""Test Book 1_2"",""author"":""Test Author 1_2""}"
GET,/api/books/3,200,0,3,
PUT,/api/books/3,200,68,109,"{""title"":""Updated Test Book 1_2"",""author"":""Updated Test Author 1_2""}"
DELETE,/api/books/3,200,0,170,
POST,/api/books,200,52,169,"{""title"":""Test Book 1_3"",""author"":""Test Author 1_3""}"
GET,/api/books/4,200,0,3,
PUT,/api/books/4,200,68,116,"{""title"":""Updated Test Book 1_3"",""author"":""Updated Test Author 1_3""}"
DELETE,/api/books/4,200,0,177,
POST,/api/books,200,52,174,"{""title"":""Test Book 1_4"",""author"":""Test Author 1_4""}"
GET,/api/books/5,200,0,3,
PUT,/api/books/5,200,68,115,"{""title"":""Updated Test Book 1_4"",""author"":""Updated Test Author 1_4""}"
DELETE,/api/books/5,200,0,178,
POST,/api/books,200,52,174,"{""title"":""Test Book 1_5"",""author"":""Test Author 1_5""}"
GET,/api/books/6,200,0,3,
PUT,/api/books/6,200,68,115,"{""title"":""Updated Test Book 1_5"",""author"":""Updated Test Author 1_5""}"
DELETE,/api/books/6,200,0,181,
POST,/api/books,200,52,169,"{""title"":""Test Book 1_6"",""author"":""Test Author 1_6""}"
GET,/api/books/7,200,0,3,
PUT,/api/books/7,200,68,117,"{""title"":""Updated Test Book 1_6"",""author"":""Updated Test Author 1_6""}"
DELETE,/api/books/7,200,0,183,
POST,/api/books,200,52,174,"{""title"":""Test Book 1_7"",""author"":""Test Author 1_7""}"
GET,/api/books/8,200,0,3,
PUT,/api/books/8,200,68,110,"{""title"":""Updated Test Book 1_7"",""author"":""Updated Test Author 1_7""}"
DELETE,/api/books/8,200,0,175,
POST,/api/books,200,52,169,"{""title"":""Test Book 1_8"",""author"":""Test Author 1_8""}"
GET,/api/books/9,200,0,3,
PUT,/api/books/9,200,68,110,"{""title"":""Updated Test Book 1_8"",""author"":""Updated Test Author 1_8""}"
DELETE,/api/books/9,200,0,174,
POST,/api/books,200,52,169,"{""title"":""Test Book 1_9"",""author"":""Test Author 1_9""}"
GET,/api/books/10,200,0,3,
PUT,/api/books/10,200,68,105,"{""title"":""Updated Test Book 1_9"",""author"":""Updated Test Author 1_9""}"
DELETE,/api/books/10,200,0,173,
POST,/api/books,200,54,176,"{""title"":""Test Book 1_10"",""author"":""Test Author 1_10""}"
GET,/api/books/11,200,0,3,
PUT,/api/books/11,200,70,114,"{""title"":""Updated Test Book 1_10"",""author"":""Updated Test Author 1_10""}"
DELETE,/api/books/11,200,0,180,
POST,/api/books,200,54,171,"{""title"":""Test Book 1_11"",""author"":""Test Author 1_11""}"
GET,/api/books/12,200,0,3,
PUT,/api/books/12,200,70,117,"{""title"":""Updated Test Book 1_11"",""author"":""Updated Test Author 1_11""}"
DELETE,/api/books/12,200,0,179,
POST,/api/books,200,54,176,"{""title"":""Test Book 1_12"",""author"":""Test Author 1_12""}"
GET,/api/books/13,200,0,3,
PUT,/api/books/13,200,70,121,"{""title"":""Updated Test Book 1_12"",""author"":""Updated Test Author 1_12""}"
DELETE,/api/books/13,200,0,192,
POST,/api/books,200,54,176,"{""title"":""Test Book 1_13"",""author"":""Test Author 1_13""}"
GET,/api/books/14,200,0,3,
PUT,/api/books/14,200,70,106,"{""title"":""Updated Test Book 1_13"",""author"":""Updated Test Author 1_13""}"
DELETE,/api/books/14,200,0,173,
POST,/api/books,200,54,171,"{""title"":""Test Book 1_14"",""author"":""Test Author 1_14""}"
GET,/api/books/15,200,0,3,
PUT,/api/books/15,200,70,205,"{""title"":""Updated Test Book 1_14"",""author"":""Updated Test Author 1_14""}"
DELETE,/api/books/15,200,0,224,
POST,/api/books,200,54,176,"{""title"":""Test Book 1_15"",""author"":""Test Author 1_15""}"
GET,/api/books/16,200,0,3,
