method,path,backend_status,body_size,statediff_size,body
POST,/api/books,201,52,47259,"{""title"":""Test Book 1_0"",""author"":""Test Author 1_0""}"
GET,/api/books/6922f60d554a9b54a08ddfe6,200,0,773,
PUT,/api/books/6922f60d554a9b54a08ddfe6,200,68,3,"{""title"":""Updated Test Book 1_0"",""author"":""Updated Test Author 1_0""}"
DELETE,/api/books/6922f60d554a9b54a08ddfe6,200,0,193,
POST,/api/books,201,52,90,"{""title"":""Test Book 1_1"",""author"":""Test Author 1_1""}"
GET,/api/books/6922f60e554a9b54a08ddfe7,200,0,208,
PUT,/api/books/6922f60e554a9b54a08ddfe7,200,68,193,"{""title"":""Updated Test Book 1_1"",""author"":""Updated Test Author 1_1""}"
DELETE,/api/books/6922f60e554a9b54a08ddfe7,200,0,3,
POST,/api/books,201,52,90,"{""title"":""Test Book 1_2"",""author"":""Test Author 1_2""}"
GET,/api/books/6922f60e554a9b54a08ddfe8,200,0,208,
PUT,/api/books/6922f60e554a9b54a08ddfe8,200,68,3,"{""title"":""Updated Test Book 1_2"",""author"":""Updated Test Author 1_2""}"
DELETE,/api/books/6922f60e554a9b54a08ddfe8,200,0,193,
POST,/api/books,201,52,3,"{""title"":""Test Book 1_3"",""author"":""Test Author 1_3""}"
GET,/api/books/6922f60f554a9b54a08ddfe9,200,0,255,
PUT,/api/books/6922f60f554a9b54a08ddfe9,200,68,3,"{""title"":""Updated Test Book 1_3"",""author"":""Updated Test Author 1_3""}"
DELETE,/api/books/6922f60f554a9b54a08ddfe9,200,0,193,
POST,/api/books,201,52,255,"{""title"":""Test Book 1_4"",""author"":""Test Author 1_4""}"
GET,/api/books/6922f60f554a9b54a08ddfea,200,0,3,
PUT,/api/books/6922f60f554a9b54a08ddfea,200,68,3,"{""title"":""Updated Test Book 1_4"",""author"":""Updated Test Author 1_4""}"
DELETE,/api/books/6922f60f554a9b54a08ddfea,200,0,193,
POST,/api/books,201,52,3,"{""title"":""Test Book 1_5"",""author"":""Test Author 1_5""}"
GET,/api/books/6922f610554a9b54a08ddfeb,200,0,255,
PUT,/api/books/6922f610554a9b54a08ddfeb,200,68,3,"{""title"":""Updated Test Book 1_5"",""author"":""Updated Test Author 1_5""}"
DELETE,/api/books/6922f610554a9b54a08ddfeb,200,0,193,
