method,path,backend_status,body_size,statediff_size,body
POST,/api/books,200,52,13156,"{""title"":""Test Book 1_0"",""author"":""Test Author 1_0""}"
GET,/api/books/1,200,0,3,
PUT,/api/books/1,200,68,8939,"{""title"":""Updated Test Book 1_0"",""author"":""Updated Test Author 1_0""}"
DELETE,/api/books/1,200,0,9004,
POST,/api/books,200,52,13159,"{""title"":""Test Book 1_1"",""author"":""Test Author 1_1""}"
GET,/api/books/2,200,0,3,
PUT,/api/books/2,200,68,9032,"{""title"":""Updated Test Book 1_1"",""author"":""Updated Test Author 1_1""}"
DELETE,/api/books/2,200,0,9055,
POST,/api/books,200,52,13135,"{""title"":""Test Book 1_2"",""author"":""Test Author 1_2""}"
GET,/api/books/3,200,0,3,
PUT,/api/books/3,200,68,9015,"{""title"":""Updated Test Book 1_2"",""author"":""Updated Test Author 1_2""}"
DELETE,/api/books/3,200,0,9031,
POST,/api/books,200,52,13130,"{""title"":""Test Book 1_3"",""author"":""Test Author 1_3""}"
GET,/api/books/4,200,0,3,
PUT,/api/books/4,200,68,8939,"{""title"":""Updated Test Book 1_3"",""author"":""Updated Test Author 1_3""}"
DELETE,/api/books/4,200,0,8999,
POST,/api/books,200,52,13135,"{""title"":""Test Book 1_4"",""author"":""Test Author 1_4""}"
GET,/api/books/5,200,0,3,
PUT,/api/books/5,200,68,8946,"{""title"":""Updated Test Book 1_4"",""author"":""Updated Test Author 1_4""}"
DELETE,/api/books/5,200,0,9009,
POST,/api/books,200,52,13135,"{""title"":""Test Book 1_5"",""author"":""Test Author 1_5""}"
GET,/api/books/6,200,0,3,
PUT,/api/books/6,200,68,8944,"{""title"":""Updated Test Book 1_5"",""author"":""Updated Test Author 1_5""}"
DELETE,/api/books/6,200,0,9010,
POST,/api/books,200,52,13130,"{""title"":""Test Book 1_6"",""author"":""Test Author 1_6""}"
GET,/api/books/7,200,0,3,
PUT,/api/books/7,200,68,8938,"{""title"":""Updated Test Book 1_6"",""author"":""Updated Test Author 1_6""}"
DELETE,/api/books/7,200,0,8999,
POST,/api/books,200,52,13135,"{""title"":""Test Book 1_7"",""author"":""Test Author 1_7""}"
GET,/api/books/8,200,0,3,
PUT,/api/books/8,200,68,8939,"{""title"":""Updated Test Book 1_7"",""author"":""Updated Test Author 1_7""}"
DELETE,/api/books/8,200,0,9005,
POST,/api/books,200,52,13130,"{""title"":""Test Book 1_8"",""author"":""Test Author 1_8""}"
GET,/api/books/9,200,0,3,
PUT,/api/books/9,200,68,8934,"{""title"":""Updated Test Book 1_8"",""author"":""Updated Test Author 1_8""}"
DELETE,/api/books/9,200,0,8995,
POST,/api/books,200,52,13135,"{""title"":""Test Book 1_9"",""author"":""Test Author 1_9""}"
GET,/api/books/10,200,0,3,
PUT,/api/books/10,200,68,8948,"{""title"":""Updated Test Book 1_9"",""author"":""Updated Test Author 1_9""}"
DELETE,/api/books/10,200,0,9012,
POST,/api/books,200,54,13137,"{""title"":""Test Book 1_10"",""author"":""Test Author 1_10""}"
GET,/api/books/11,200,0,3,
PUT,/api/books/11,200,70,8940,"{""title"":""Updated Test Book 1_10"",""author"":""Updated Test Author 1_10""}"
DELETE,/api/books/11,200,0,9008,
POST,/api/books,200,54,13132,"{""title"":""Test Book 1_11"",""author"":""Test Author 1_11""}"
GET,/api/books/12,200,0,3,
PUT,/api/books/12,200,70,8935,"{""title"":""Updated Test Book 1_11"",""author"":""Updated Test Author 1_11""}"
DELETE,/api/books/12,200,0,8997,
POST,/api/books,200,54,13137,"{""title"":""Test Book 1_12"",""author"":""Test Author 1_12""}"
GET,/api/books/13,200,0,3,
PUT,/api/books/13,200,70,8945,"{""title"":""Updated Test Book 1_12"",""author"":""Updated Test Author 1_12""}"
DELETE,/api/books/13,200,0,9021,
POST,/api/books,200,54,13135,"{""title"":""Test Book 1_13"",""author"":""Test Author 1_13""}"
GET,/api/books/14,200,0,3,
PUT,/api/books/14,200,70,9029,"{""title"":""Updated Test Book 1_13"",""author"":""Updated Test Author 1_13""}"
DELETE,/api/books/14,200,0,9020,
POST,/api/books,200,54,13128,"{""title"":""Test Book 1_14"",""author"":""Test Author 1_14""}"
GET,/api/books/15,200,0,3,
PUT,/api/books/15,200,70,9022,"{""title"":""Updated Test Book 1_14"",""author"":""Updated Test Author 1_14""}"
DELETE,/api/books/15,200,0,9018,
POST,/api/books,200,54,13137,"{""title"":""Test Book 1_15"",""author"":""Test Author 1_15""}"
GET,/api/books/16,200,0,3,
PUT,/api/books/16,200,70,8935,"{""title"":""Updated Test Book 1_15"",""author"":""Updated Test Author 1_15""}"
DELETE,/api/books/16,200,0,8997,
POST,/api/books,200,54,13132,"{""title"":""Test Book 1_16"",""author"":""Test Author 1_16""}"
GET,/api/books/17,200,0,3,
PUT,/api/books/17,200,70,8940,"{""title"":""Updated Test Book 1_16"",""author"":""Updated Test Author 1_16""}"
DELETE,/api/books/17,200,0,9006,
POST,/api/books,200,54,13132,"{""title"":""Test Book 1_17"",""author"":""Test Author 1_17""}"
GET,/api/books/18,200,0,3,
PUT,/api/books/18,200,70,8945,"{""title"":""Updated Test Book 1_17"",""author"":""Updated Test Author 1_17""}"
DELETE,/api/books/18,200,0,9014,
POST,/api/books,200,54,13137,"{""title"":""Test Book 1_18"",""author"":""Test Author 1_18""}"
GET,/api/books/19,200,0,3,
PUT,/api/books/19,200,70,8940,"{""title"":""Updated Test Book 1_18"",""author"":""Updated Test Author 1_18""}"
DELETE,/api/books/19,200,0,9002,
POST,/api/books,200,54,13132,"{""title"":""Test Book 1_19"",""author"":""Test Author 1_19""}"
